order_details_id,order_id,order_date,order_time,item_id,item_name,category,price,month,month_name,day_name,hour,week,is_weekend,price_tier
1,1,2023-01-01,11:38:36,109,Korean Beef Bowl,Asian,17.95,1,Jan,Sunday,11,52,True,Premium ($15–20)
2,2,2023-01-01,11:57:40,108,Tofu Pad Thai,Asian,14.5,1,Jan,Sunday,11,52,True,Mid ($10–15)
3,2,2023-01-01,11:57:40,124,Spaghetti,Italian,14.5,1,Jan,Sunday,11,52,True,Mid ($10–15)
4,2,2023-01-01,11:57:40,117,Chicken Burrito,Mexican,12.95,1,Jan,Sunday,11,52,True,Mid ($10–15)
5,2,2023-01-01,11:57:40,129,Mushroom Ravioli,Italian,15.5,1,Jan,Sunday,11,52,True,Premium ($15–20)
6,2,2023-01-01,11:57:40,106,French Fries,American,7.0,1,Jan,Sunday,11,52,True,Budget (<$10)
7,3,2023-01-01,12:12:28,117,Chicken Burrito,Mexican,12.95,1,Jan,Sunday,12,52,True,Mid ($10–15)
8,3,2023-01-01,12:12:28,119,Chicken Torta,Mexican,11.95,1,Jan,Sunday,12,52,True,Mid ($10–15)
9,4,2023-01-01,12:16:31,117,Chicken Burrito,Mexican,12.95,1,Jan,Sunday,12,52,True,Mid ($10–15)
10,5,2023-01-01,12:21:30,117,Chicken Burrito,Mexican,12.95,1,Jan,Sunday,12,52,True,Mid ($10–15)
11,6,2023-01-01,12:29:36,101,Hamburger,American,12.95,1,Jan,Sunday,12,52,True,Mid ($10–15)
12,6,2023-01-01,12:29:36,114,Potstickers,Asian,9.0,1,Jan,Sunday,12,52,True,Budget (<$10)
13,7,2023-01-01,12:50:37,123,Chips & Guacamole,Mexican,9.0,1,Jan,Sunday,12,52,True,Budget (<$10)
14,8,2023-01-01,12:51:37,123,Chips & Guacamole,Mexican,9.0,1,Jan,Sunday,12,52,True,Budget (<$10)
15,9,2023-01-01,12:52:01,108,Tofu Pad Thai,Asian,14.5,1,Jan,Sunday,12,52,True,Mid ($10–15)
16,9,2023-01-01,12:52:01,126,Fettuccine Alfredo,Italian,14.5,1,Jan,Sunday,12,52,True,Mid ($10–15)
17,9,2023-01-01,12:52:01,110,Pork Ramen,Asian,17.95,1,Jan,Sunday,12,52,True,Premium ($15–20)
18,9,2023-01-01,12:52:01,117,Chicken Burrito,Mexican,12.95,1,Jan,Sunday,12,52,True,Mid ($10–15)
19,9,2023-01-01,12:52:01,117,Chicken Burrito,Mexican,12.95,1,Jan,Sunday,12,52,True,Mid ($10–15)
20,9,2023-01-01,12:52:01,129,Mushroom Ravioli,Italian,15.5,1,Jan,Sunday,12,52,True,Premium ($15–20)
21,9,2023-01-01,12:52:01,122,Chips & Salsa,Mexican,7.0,1,Jan,Sunday,12,52,True,Budget (<$10)
22,9,2023-01-01,12:52:01,130,Shrimp Scampi,Italian,19.95,1,Jan,Sunday,12,52,True,Premium ($15–20)
23,9,2023-01-01,12:52:01,132,Eggplant Parmesan,Italian,16.95,1,Jan,Sunday,12,52,True,Premium ($15–20)
24,10,2023-01-01,13:00:15,129,Mushroom Ravioli,Italian,15.5,1,Jan,Sunday,13,52,True,Premium ($15–20)
